A,B,A*B in C,D,E,D+E in C,,Expected,Difference
0,1624,0,-23241,0,-23241,,,
0,95,0,-23241,0,-23241,,,
0,41,0,-23241,0,-23241,,,
0,-1935,0,-23241,0,-23241,,,
0,1574,0,-23241,0,-23241,,,
0,-43,0,-23241,0,-23241,,,
0,-1046,0,-23241,0,-23241,,,
0,-2086,0,-23241,0,-23241,,,
0,-2158,0,-23241,0,-23241,,,
0,790,0,-23241,0,-23241,,,
31868,-625,-304,-23241,-304,-23545,,-304,0
65279,2293,2284,-23545,2284,-21261,,2284,0
65279,1809,1801,-21261,1801,-19460,,1802,1
65279,964,960,-19460,960,-18500,,960,0
44205,-1105,-746,-18500,-746,-19246,,-745,1
24158,-181,-67,-19246,-67,-19313,,-67,0
5654,995,85,-19313,85,-19228,,86,1
4626,473,33,-19228,33,-19195,,33,0
2570,1975,77,-19195,77,-19118,,77,0
0,826,0,-19118,0,-19118,,,
14649,1676,374,-19118,374,-18744,,375,1
64765,172,169,-18744,169,-18575,,170,1
65279,2013,2005,-18575,2005,-16570,,2005,0
49602,2863,2166,-16570,2166,-14404,,2167,1
771,610,7,-14404,7,-14397,,7,0
0,1566,0,-14397,0,-14397,,,
0,106,0,-14397,0,-14397,,,
0,2237,0,-14397,0,-14397,,,
0,1352,0,-14397,0,-14397,,,
0,-440,0,-14397,0,-14397,,,
0,367,0,-14397,0,-14397,,,
0,-443,0,-14397,0,-14397,,,
0,1932,0,-14397,0,-14397,,,
0,1657,0,-14397,0,-14397,,,
0,933,0,-14397,0,-14397,,,
0,201,0,-14397,0,-14397,,,
0,-483,0,-14397,0,-14397,,,
0,-1945,0,-14397,0,-14397,,,
38808,-1661,-984,-14397,-984,-15381,,-984,0
65279,1025,1020,-15381,1020,-14361,,1021,1
65279,-152,-152,-14361,-152,-14513,,-151,1
65279,-1027,-1023,-14513,-1023,-15536,,-1023,0
65279,728,725,-15536,725,-14811,,725,0
65279,-780,-777,-14811,-777,-15588,,-777,0
65279,-892,-889,-15588,-889,-16477,,-889,0
60653,367,339,-16477,339,-16138,,340,1
52686,1055,848,-16138,848,-15290,,848,0
29298,959,428,-15290,428,-14862,,429,1
27242,-783,-326,-14862,-326,-15188,,-325,1
65279,2904,2892,-15188,2892,-12296,,2893,1
65279,1159,1154,-12296,1154,-11142,,1154,0
30326,-2060,-954,-11142,-954,-12096,,-953,1
0,1377,0,-12096,0,-12096,,,
0,47,0,-12096,0,-12096,,,
0,2738,0,-12096,0,-12096,,,
0,-382,0,-12096,0,-12096,,,
0,2015,0,-12096,0,-12096,,,
0,2201,0,-12096,0,-12096,,,
0,1874,0,-12096,0,-12096,,,
0,527,0,-12096,0,-12096,,,
0,-2120,0,-12096,0,-12096,,,
0,1114,0,-12096,0,-12096,,,
0,-1633,0,-12096,0,-12096,,,
0,-411,0,-12096,0,-12096,,,
0,1057,0,-12096,0,-12096,,,
0,902,0,-12096,0,-12096,,,
5654,-196,-17,-12096,-17,-12113,,-17,0
29298,-178,-80,-12113,-80,-12193,,-80,0
40093,-1015,-621,-12193,-621,-12814,,-621,0
41378,2061,1301,-12814,1301,-11513,,1301,0
65279,-2115,-2107,-11513,-2107,-13620,,-2107,0
65279,940,936,-13620,936,-12684,,936,0
65279,-65,-65,-12684,-65,-12749,,-65,0
65279,946,942,-12749,942,-11807,,942,0
65279,-1146,-1142,-11807,-1142,-12949,,-1142,0
65279,261,259,-12949,259,-12690,,260,1
65279,1365,1359,-12690,1359,-11331,,1360,1
65279,2373,2363,-11331,2363,-8968,,2364,1
65279,813,809,-8968,809,-8159,,810,1
20817,-1748,-556,-8159,-556,-8715,,-555,1
0,1291,0,-8715,0,-8715,,,
0,1291,0,-8715,0,-8715,,,
0,2430,0,-8715,0,-8715,,,
0,-1386,0,-8715,0,-8715,,,
0,158,0,-8715,0,-8715,,,
0,-1203,0,-8715,0,-8715,,,
0,-606,0,-8715,0,-8715,,,
0,1531,0,-8715,0,-8715,,,
0,2017,0,-8715,0,-8715,,,
0,-524,0,-8715,0,-8715,,,
0,-859,0,-8715,0,-8715,,,
0,1189,0,-8715,0,-8715,,,
0,-1516,0,-8715,0,-8715,,,
0,741,0,-8715,0,-8715,,,
0,-604,0,-8715,0,-8715,,,
0,1309,0,-8715,0,-8715,,,
0,-1118,0,-8715,0,-8715,,,
257,1640,6,-8715,6,-8709,,6,0
2570,1773,69,-8709,69,-8640,,70,1
2570,1101,43,-8640,43,-8597,,43,0
28270,1299,560,-8597,560,-8037,,560,0
36495,841,468,-8037,468,-7569,,468,0
58340,2420,2154,-7569,2154,-5415,,2154,0
61938,308,291,-5415,291,-5124,,291,0
65279,174,173,-5124,173,-4951,,173,0
65279,-1532,-1526,-4951,-1526,-6477,,-1526,0
64765,-1326,-1311,-6477,-1311,-7788,,-1310,1
18761,-1423,-408,-7788,-408,-8196,,-407,1
0,888,0,-8196,0,-8196,,,
0,-1513,0,-8196,0,-8196,,,
0,593,0,-8196,0,-8196,,,
0,-152,0,-8196,0,-8196,,,
0,1916,0,-8196,0,-8196,,,
0,-1956,0,-8196,0,-8196,,,
0,346,0,-8196,0,-8196,,,
0,2261,0,-8196,0,-8196,,,
0,-1173,0,-8196,0,-8196,,,
0,1072,0,-8196,0,-8196,,,
0,-620,0,-8196,0,-8196,,,
0,1040,0,-8196,0,-8196,,,
0,1304,0,-8196,0,-8196,,,
0,-1822,0,-8196,0,-8196,,,
0,-450,0,-8196,0,-8196,,,
0,359,0,-8196,0,-8196,,,
0,1437,0,-8196,0,-8196,,,
0,-427,0,-8196,0,-8196,,,
0,1227,0,-8196,0,-8196,,,
0,-1927,0,-8196,0,-8196,,,
0,-1512,0,-8196,0,-8196,,,
0,1484,0,-8196,0,-8196,,,
